size|red_wins|blue_wins|time|moves
5|100|0|[0.116937995,0.069784164,0.08744168,0.12016809,0.13482964,0.09552705,0.091107965,0.110254526,0.112101436,0.09046316,0.12866342,0.11226511,0.10836685,0.10133314,0.099265814,0.10086894,0.10846019,0.10148454,0.12263143,0.09440565,0.1237576,0.1093936,0.12481284,0.1104157,0.1304543,0.12057674,0.10476112,0.10685301,0.110051274,0.11006558,0.12347329,0.11132598,0.14611411,0.11522162,0.07946551,0.10318947,0.1295172,0.13609672,0.10972643,0.089906335,0.104204535,0.12722409,0.1114651,0.082295775,0.13466096,0.13201547,0.10043144,0.094913125,0.068767905,0.095736146,0.09899199,0.09410524,0.13325799,0.122621536,0.11569095,0.1061008,0.099948406,0.11233139,0.12787533,0.11801195,0.111361384,0.10929763,0.070803285,0.14333701,0.09204471,0.11669159,0.11726904,0.08334088,0.12059939,0.12341046,0.11388159,0.12213111,0.11704111,0.10299039,0.09488249,0.11591339,0.115455985,0.12048864,0.09393263,0.11709201,0.10705364,0.12067592,0.11426258,0.118317366,0.11386192,0.10279429,0.12012982,0.09829342,0.1383791,0.11497593,0.12426567,0.13242853,0.11074841,0.09339166,0.12513077,0.10279274,0.12907434,0.0748471,0.07830024,0.08048284]|[16,12,16,20,18,12,12,16,18,12,18,14,12,14,14,14,14,16,18,12,16,14,16,16,18,16,12,16,14,16,16,14,22,14,10,14,20,20,16,12,12,18,14,12,20,18,12,12,10,16,12,12,20,16,18,14,16,14,16,18,16,14,12,22,14,18,18,12,20,16,16,18,14,14,12,16,18,18,12,14,14,14,16,16,14,14,18,12,20,16,18,22,18,12,18,14,20,10,14,14]
6|100|0|[0.14779699,0.19703174,0.30383503,0.18458974,0.19707954,0.2051754,0.32262695,0.17509174,0.22559094,0.15254462,0.25075734,0.2403214,0.22553837,0.21823442,0.23576188,0.28680658,0.19065595,0.19142437,0.24660552,0.22664702,0.25844967,0.31615043,0.27209258,0.22759438,0.1917001,0.24473023,0.23188746,0.24533331,0.22375,0.26719534,0.19843245,0.27445817,0.21810484,0.275967,0.22316027,0.21851182,0.21916604,0.15256369,0.26266146,0.16891253,0.24347222,0.21496344,0.26425946,0.2817464,0.24395752,0.1838888,0.25780594,0.29633427,0.20427895,0.1984955,0.23079026,0.2811631,0.23914099,0.27959502,0.2661208,0.24656272,0.2180469,0.19333184,0.23532104,0.2616186,0.24728715,0.17031014,0.19864035,0.19722414,0.26458478,0.25870252,0.21499872,0.23625433,0.2190355,0.25056648,0.17591178,0.16958046,0.17446482,0.20492494,0.23552465,0.28096485,0.2205863,0.23642874,0.2098949,0.25542545,0.24044132,0.240515,0.31594706,0.19776547,0.17978978,0.25160658,0.2675506,0.24262369,0.18504393,0.16078508,0.19819438,0.22135973,0.23236763,0.21783423,0.13982308,0.32187438,0.19160521,0.1976912,0.26293182,0.2115016]|[16,18,24,18,22,20,32,16,20,14,28,26,22,24,22,32,20,20,26,24,22,30,26,20,18,26,24,22,24,26,18,20,20,28,20,24,22,14,32,14,20,26,26,30,28,20,22,26,18,20,22,24,22,24,22,22,24,20,26,24,24,18,22,18,22,22,20,20,22,22,20,16,18,18,28,28,24,24,18,22,24,26,34,20,18,24,22,26,20,16,16,22,20,26,12,32,18,22,28,20]
7|100|0|[0.56522083,0.4405501,0.62149763,0.47279382,0.4534316,0.35447335,0.50637376,0.52355504,0.48435628,0.58617914,0.38637757,0.36180472,0.5145662,0.52633667,0.4311118,0.5310571,0.5185487,0.5347471,0.57357454,0.5525434,0.40714836,0.5073191,0.44004786,0.47950268,0.40157342,0.54408264,0.33447385,0.56077147,0.5211499,0.41801405,0.36930585,0.46607113,0.44221067,0.44331646,0.47240436,0.3525839,0.35343504,0.40783656,0.44862127,0.28119767,0.35494184,0.6263919,0.54396415,0.45955205,0.53321636,0.4770651,0.41132855,0.54345167,0.38141263,0.41689157,0.3573569,0.5400338,0.50885916,0.36057067,0.500211,0.43354213,0.48362803,0.31676185,0.4657719,0.5156026,0.4300902,0.5249257,0.28707945,0.6363189,0.5676749,0.44531953,0.4793079,0.45798993,0.4850067,0.48565364,0.50167143,0.4525963,0.35698318,0.5976378,0.41952395,0.43513227,0.35229766,0.47329962,0.54932904,0.58061624,0.57514715,0.51208985,0.5144899,0.43044555,0.72506714,0.426628,0.4926176,0.43144011,0.50938654,0.45470154,0.59618616,0.4666041,0.42593443,0.6229458,0.4393978,0.4160756,0.43639827,0.5767809,0.42335665,0.5493195]|[42,30,40,30,28,28,40,38,38,40,30,24,34,36,28,32,38,34,38,32,26,38,30,34,28,34,20,38,32,28,22,32,38,38,40,24,24,26,28,18,28,40,28,24,40,38,26,32,22,32,22,36,34,26,38,26,32,22,36,28,30,32,18,40,32,34,36,26,26,30,26,30,26,38,32,30,24,32,36,40,34,40,36,28,38,32,38,28,30,26,36,40,26,46,36,28,32,34,26,34]
8|100|0|[0.9009901,0.66758204,0.71862197,0.8624096,0.8207966,1.1565735,0.9349319,1.034338,0.87524605,0.98878586,0.9631121,0.7797779,0.776602,0.8433411,0.9048648,0.8209443,0.6155758,0.90412927,1.0645037,1.2463031,1.0419295,0.8581735,1.053544,0.7914605,0.83519423,0.7615795,0.9648764,0.8187711,0.7662995,1.0027936,1.1358209,0.7651646,1.0795629,0.74938893,0.9685011,0.9863908,0.9802284,1.1102018,0.74860394,0.7716408,1.032639,0.8911514,0.93746555,1.0153563,0.9817169,0.753021,0.8270774,0.8941361,0.90558696,0.89092577,1.1043277,1.0411863,1.1988249,0.81792927,0.80971825,0.89569247,0.7552316,0.8750206,1.0604427,0.96205854,0.98072004,0.63347566,0.8232424,0.81510353,0.9046056,0.63874555,0.9527966,1.0168078,1.0759952,0.8724916,0.91530454,1.1562688,0.8246839,0.9433365,0.8517816,0.65173984,0.7409879,0.9141489,1.0180731,0.842607,0.9893832,0.86855876,1.0855954,0.6386895,1.2442892,1.0961223,0.98885524,0.91899276,1.0328875,1.0410273,1.0871444,1.0367556,0.9527006,0.8081026,1.1790209,1.065928,1.2045088,1.1348665,1.0530767,1.1209967]|[36,24,30,44,38,48,40,48,40,48,38,42,42,36,46,42,28,38,48,52,38,42,40,38,46,36,54,44,30,50,44,38,50,38,52,48,44,52,30,40,48,42,44,50,48,34,40,42,56,36,48,48,48,40,38,46,40,52,48,34,48,30,52,36,42,40,52,38,54,36,48,46,42,40,42,28,38,54,52,40,58,36,62,34,60,40,54,42,44,58,46,40,38,30,52,56,48,44,44,52]
9|100|0|[1.7460759,1.9148977,1.8068984,2.0918124,2.4901617,1.4976535,1.2994728,2.3323421,2.131617,1.8170967,2.1026704,2.0081682,1.8955564,2.1144073,2.1373222,1.4849424,2.3867106,1.7184653,1.9043546,1.6235261,1.9703805,1.6798444,1.789192,1.9042895,1.7184718,2.0187154,2.0460057,1.9206281,1.867948,1.8276334,1.8003788,1.4095464,1.9264112,1.5939629,1.839498,1.6210113,1.421627,1.8329382,2.0113113,1.76314,1.554456,1.728735,1.9166303,1.9936609,1.7844212,1.4062982,1.9006307,1.5037951,2.24971,1.945354,1.679429,1.9375947,2.0124896,1.535327,2.2333627,1.8457084,1.5303357,2.2249355,1.6360419,1.8723397,1.881583,2.261362,1.6615176,1.7830081,1.4941676,1.781383,1.8823318,1.9690237,1.966959,2.256453,2.0457551,1.2953932,1.9591932,1.8183584,1.1374187,2.179667,2.013316,1.6993144,1.9855576,1.7860346,1.9891033,1.7723107,1.6573002,1.9440136,1.9506357,1.7354188,2.3418367,1.9381003,1.8166575,1.9790211,1.7065349,1.7448196,2.1949158,1.598263,1.7439833,1.7586701,1.2713745,1.958848,2.0765817,1.604717]|[50,64,64,62,66,48,40,52,58,56,56,60,62,58,60,56,70,70,66,46,72,58,66,66,64,62,60,78,64,48,62,50,56,46,52,42,48,50,52,54,50,48,66,52,42,40,56,40,54,54,68,58,64,48,70,52,54,68,72,68,70,64,54,50,46,72,68,58,58,60,60,40,58,62,30,56,62,58,64,52,58,44,50,62,68,60,68,68,52,62,60,56,62,56,50,52,40,52,70,58]
10|100|0|[2.9109468,3.265077,2.8186574,3.1710677,3.2749834,3.3810205,3.0487156,3.107894,3.2930312,3.1670146,2.8253572,2.8198836,3.5975518,2.6951196,3.753796,3.6443481,3.311203,2.4973912,3.2284513,2.984978,3.1147823,2.8650718,3.7667956,3.655983,3.1720004,3.7910323,2.760631,2.9408023,3.0231123,2.6990647,2.8705676,3.0819287,3.5444908,3.1079335,3.767436,4.106087,4.020423,3.4548388,3.2518296,2.8961525,2.2257118,2.7717757,2.6441276,2.8349047,2.8458285,3.0569806,2.8264408,2.6204104,3.2915568,2.556594,3.4280624,2.7398224,4.0548797,3.9124846,2.9781969,3.1526446,2.5951793,2.923553,3.1551118,3.2214823,3.2937045,2.8996654,3.6024709,4.03543,3.3481746,3.8537836,3.4825444,3.1356206,3.4837036,2.809181,3.0294485,2.379053,3.471457,3.0143323,3.3683777,3.338046,2.7484531,3.834774,3.1854773,4.601669,2.7990599,3.5866537,3.3248715,2.7534509,4.533874,3.4235191,3.60222,3.283299,2.6815507,3.4437451,3.9446087,3.1228294,3.29276,2.8429222,2.861387,3.2975883,3.073204,3.6388645,3.3779373,3.5313754]|[88,72,66,74,74,78,64,66,62,74,60,62,74,54,76,70,84,66,86,90,66,76,86,80,60,72,62,70,80,82,60,66,84,68,82,84,76,64,80,80,52,68,66,52,72,70,78,62,72,52,76,86,76,72,54,58,64,82,74,76,66,64,66,76,78,82,66,74,74,76,72,56,78,72,78,74,64,90,74,84,64,86,76,66,82,62,76,76,66,64,76,74,76,62,56,68,68,84,68,76]
11|100|0|[5.925005,5.0294642,6.7831006,5.378359,5.456786,4.628966,5.1683917,6.4767895,5.8874454,5.6979513,5.420672,5.294555,6.3629155,5.6875606,7.025298,5.3039265,5.323503,5.3630366,5.753003,4.3763776,5.919447,5.355317,5.9191413,6.9533863,6.4143763,5.6426973,5.07881,6.17528,5.279129,6.1717634,4.059774,5.5137687,5.3712044,5.4670844,5.573845,5.95633,7.242011,5.1271806,5.33871,5.2053146,5.6574492,6.070382,5.084858,7.4522285,4.0141764,5.4209023,5.2694116,5.240099,4.369627,4.4943004,4.4901137,5.7798796,6.506172,4.171003,4.272965,5.499369,6.004212,5.774495,4.65576,5.371693,6.765888,5.428685,4.4731693,4.3962407,4.459065,4.0412793,5.4567704,6.59443,5.247748,5.319509,5.3252563,6.1311455,4.727245,5.6625595,5.169664,5.115236,6.3144736,6.5134926,6.5730886,5.0343394,4.8623934,5.5095606,5.181463,5.399131,3.7114935,5.607975,5.9748325,4.095467,5.64823,6.333791,4.738815,5.7487025,4.8435264,4.1285257,6.189256,5.9662495,4.999922,5.985091,5.6703587,4.8379965]|[104,84,94,104,86,68,88,94,80,66,98,78,112,100,94,76,98,92,96,68,86,82,84,90,78,86,82,88,98,84,74,70,92,80,74,98,96,74,86,82,96,102,84,92,68,94,78,80,74,70,88,114,92,78,82,98,84,88,86,100,96,92,78,94,70,74,96,106,86,98,98,96,82,100,94,94,92,96,92,70,84,82,82,82,78,84,92,80,96,90,74,94,84,70,86,90,82,92,86,82]
